track_name,artist_name,album_name,track_id,preview_url,popularity,release_date,song_url,genres,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Laung Da Lashkara,Mahalakshmi Iyer,Patiala House,5pQODzb8j3xMQ1qvrQXJvo,https://p.scdn.co/mp3-preview/0e82ca7d050c91695a2e282c46c267326e73ba77?cid=20390ab532e3448ea3f81b92357edf65,61,2011-01-07,https://open.spotify.com/track/5pQODzb8j3xMQ1qvrQXJvo,"['filmi', 'modern bollywood']",0.05,0.841,304467,0.74,2.22e-06,9,0.128,-8.432,1,0.13,109.033,4,0.626
Lazy Lad,Amit Trivedi,Ghanchakkar (Original Motion Picture Soundtrack),17QlNzGYB4iceCCW8TrXO0,https://p.scdn.co/mp3-preview/ea8d0dbcf13add712ebd197d25dc4ff4a4907158?cid=20390ab532e3448ea3f81b92357edf65,47,2013-05-24,https://open.spotify.com/track/17QlNzGYB4iceCCW8TrXO0,"['desi pop', 'filmi', 'modern bollywood']",0.261,0.896,195093,0.59,0.128,0,0.0876,-6.071,1,0.0648,125.944,4,0.907
Le Gayi,Uttam Singh,Dil To Pagal Hai,2Hs659VSIWrtetYzclXVP6,https://p.scdn.co/mp3-preview/00140ec94605018f48ad14ab2e6a9b159d105258?cid=20390ab532e3448ea3f81b92357edf65,64,1997-08-27,https://open.spotify.com/track/2Hs659VSIWrtetYzclXVP6,"['classic bollywood', 'filmi', 'modern bollywood']",0.185,0.831,341812,0.737,0.000937,5,0.153,-11.51,0,0.0497,125.552,4,0.82
Le Jaana,Lekka,Le Jaana,0fvM6VGLEvqEVGDMlvvrQu,https://p.scdn.co/mp3-preview/2c0fcac73b13bcbe589c49f7da3f11a0614e3d7f?cid=20390ab532e3448ea3f81b92357edf65,40,2023-06-01,https://open.spotify.com/track/0fvM6VGLEvqEVGDMlvvrQu,[],0.478,0.717,218816,0.849,1.31e-05,7,0.374,-4.086,1,0.0803,97.003,4,0.408
Le Jaa Tu Mujhe,Sachin-Jigar,F.A.L.T.U (Original Motion Picture Soundtrack),1EFKizholUErxGhpCpYVS6,https://p.scdn.co/mp3-preview/cbb56542defcc41d145e3d25ac73925bfe4e6675?cid=20390ab532e3448ea3f81b92357edf65,39,2011-06-08,https://open.spotify.com/track/1EFKizholUErxGhpCpYVS6,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",0.111,0.422,332000,0.676,0,4,0.398,-4.98,0,0.0374,163.909,4,0.322
Le Le Mazaa Le,Suzanne,Wanted,0V6i9XZ7NOfXQAygSaswnM,https://p.scdn.co/mp3-preview/c207707c3deecb5066b3ccc40b5c1139747013f5?cid=20390ab532e3448ea3f81b92357edf65,62,2009-08-10,https://open.spotify.com/track/0V6i9XZ7NOfXQAygSaswnM,[],0.262,0.742,250183,0.875,0.00994,2,0.244,-5.212,1,0.0879,181.539,3,0.872
Leke Pahla Pahla Pyar,Shamshad Begum,C.I.D. (Original Motion Picture Soundtrack),4e7yGjCCDy5bh7EyM7JQSV,https://p.scdn.co/mp3-preview/f639b7c3ec24c2f6fd2070d6e2d7d780e642a5e5?cid=20390ab532e3448ea3f81b92357edf65,18,1956-12-30,https://open.spotify.com/track/4e7yGjCCDy5bh7EyM7JQSV,"['classic bollywood', 'filmi']",0.761,0.627,405600,0.538,0,3,0.606,-8.865,0,0.0532,100.206,4,0.925
"Leke Pehla Pehla Pyaar (From ""Kya Meri Sonam Gupta Bewafa Hai?"")",Jassie Gill,"Leke Pehla Pehla Pyaar (From ""Kya Meri Sonam Gupta Bewafa Hai?"") - Single",57gcO6spcJ3QoXuW68QYsL,https://p.scdn.co/mp3-preview/548332bc36aade98f2e4eee567405794ce427d54?cid=20390ab532e3448ea3f81b92357edf65,41,2021-09-08,https://open.spotify.com/track/57gcO6spcJ3QoXuW68QYsL,"['desi pop', 'punjabi pop']",0.27,0.79,174265,0.71,0.00013,2,0.092,-4.795,0,0.0756,98.014,4,0.46
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),7iN1s7xHE4ifF5povM6A48,https://p.scdn.co/mp3-preview/31f65b6a613010f22316c7be335b62226cf2f263?cid=20390ab532e3448ea3f81b92357edf65,79,1970-05-08,https://open.spotify.com/track/7iN1s7xHE4ifF5povM6A48,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.631,0.443,243027,0.403,0,0,0.111,-8.339,1,0.0322,143.462,4,0.41
Let The Music Play (Original Vocal Mix),Marascia E. Kortezman,Let The Music Play,3aX2dlmle53XiwXmABy65B,https://p.scdn.co/mp3-preview/7f946c043e0aa0cefeb9c27c0fcb5590e749b1a6?cid=20390ab532e3448ea3f81b92357edf65,29,2004,https://open.spotify.com/track/3aX2dlmle53XiwXmABy65B,[],0.000205,0.885,225419,0.447,0.312,4,0.0631,-9.894,0,0.0799,113.994,4,0.744
Let's Nacho,Nucleya,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),4mQpBIJKBpd8lcrtZ73SP8,https://p.scdn.co/mp3-preview/e77704a667bddc0f749d05a304bcc68133fc20a8?cid=20390ab532e3448ea3f81b92357edf65,57,2016-03-04,https://open.spotify.com/track/4mQpBIJKBpd8lcrtZ73SP8,"['desi hip hop', 'desi pop', 'hindi hip hop', 'indian edm', 'indian indie']",0.0906,0.742,215076,0.947,0.0221,0,0.0721,-3.749,1,0.0321,130.043,4,0.88
Lets Rock Soniye,Pritam,Bhool Bhulaiyaa,0W6xSGihThKerVr2u18n9u,https://p.scdn.co/mp3-preview/761367026347ab2f6249a580f0b0ddc4f6cc7764?cid=20390ab532e3448ea3f81b92357edf65,41,2007-09-05,https://open.spotify.com/track/0W6xSGihThKerVr2u18n9u,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.109,0.755,264255,0.947,0,7,0.0488,-4.18,1,0.164,102.981,4,0.765
Let's Celebrate,Skyy,Skyy Line,3nf3xKlene4BpKqaCrdtwQ,https://p.scdn.co/mp3-preview/0ec205721b98c3b1735d9e55cee5b0b5c5e922e0?cid=20390ab532e3448ea3f81b92357edf65,40,1981-01-01,https://open.spotify.com/track/3nf3xKlene4BpKqaCrdtwQ,"['classic soul', 'disco', 'funk', 'new jack swing', 'p funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",0.00199,0.738,333173,0.763,0.0834,7,0.0311,-8.248,1,0.0617,116.907,4,0.796
Let' s Talk About Love,Modern Talking,Let's Talk About Love,5Hu64lhLYgP5r3B75eEbwG,https://p.scdn.co/mp3-preview/4f5207da2d54b1492bbf2c77ad212e94fa6ba57b?cid=20390ab532e3448ea3f81b92357edf65,42,1985,https://open.spotify.com/track/5Hu64lhLYgP5r3B75eEbwG,"['europop', 'german pop', 'synthpop']",0.202,0.694,233973,0.483,2.02e-06,1,0.264,-13.726,0,0.0306,112.603,4,0.655
Life Is Crazy,Shankar-Ehsaan-Loy,Wake Up Sid (Original Motion Picture Soundtrack),5gN3uHEvCU4Ui6RBCN1lEA,https://p.scdn.co/mp3-preview/9fae359857ee47e672900b79c2e60af4727415b0?cid=20390ab532e3448ea3f81b92357edf65,49,2009-08-21,https://open.spotify.com/track/5gN3uHEvCU4Ui6RBCN1lEA,"['filmi', 'modern bollywood']",0.321,0.638,221800,0.812,2.34e-05,2,0.282,-5.622,1,0.0392,139.934,4,0.709
Lift Kara De,Adnan Sami,Kabhi To Nazar Milao/Bheegi Bheegi raton Mein,5Yita5PCCRG42WpcBRfs83,https://p.scdn.co/mp3-preview/422198da3e19e0e84798a762f9b17e6c8a47510c?cid=20390ab532e3448ea3f81b92357edf65,41,1997,https://open.spotify.com/track/5Yita5PCCRG42WpcBRfs83,"['classic pakistani pop', 'filmi', 'modern bollywood']",0.174,0.806,253067,0.645,0,5,0.0585,-11.422,1,0.153,92.085,4,0.921
Liggi,Ritviz,Dev,7tbzfR8ZvZzJEzy6v0d6el,https://p.scdn.co/mp3-preview/cff94688c5558ed1c9d8d3a1336b636506c9e16f?cid=20390ab532e3448ea3f81b92357edf65,70,2021-07-09,https://open.spotify.com/track/7tbzfR8ZvZzJEzy6v0d6el,"['desi hip hop', 'desi pop', 'hindi indie', 'indian edm']",0.0112,0.786,181176,0.667,0.053,5,0.074,-8.272,1,0.054,102.046,4,0.688
Likhe Jo Khat Tujhe,Raj Barman,Likhe Jo Khat Tujhe - Single,6fELo6r2QW8FbBHdn8BiFd,https://p.scdn.co/mp3-preview/eec7d58a527bd62dc2f8d714004b519a13f1e4d9?cid=20390ab532e3448ea3f81b92357edf65,46,2021-01-15,https://open.spotify.com/track/6fELo6r2QW8FbBHdn8BiFd,"['bangla pop', 'desi pop', 'filmi', 'modern bollywood']",0.0106,0.773,132571,0.624,3.86e-06,2,0.0541,-7.615,0,0.052,105.044,4,0.431
Likhne Wale Ne Likh Dale,Lata Mangeshkar,Arpan (Original Motion Picture Soundtrack),4qmXvrF4ztgkwetu5IXFtQ,https://p.scdn.co/mp3-preview/82ee30a8ec808414432be7d45b20dca94a054dfb?cid=20390ab532e3448ea3f81b92357edf65,12,1983-01-01,https://open.spotify.com/track/4qmXvrF4ztgkwetu5IXFtQ,"['classic bollywood', 'filmi', 'lata']",0.574,0.293,466493,0.695,4.35e-05,3,0.158,-9.371,1,0.0602,170.06,4,0.889
Good Clean Fun,Maurice Evans,Tenderloin (Original Broadway Cast Recording),1B2ddTGnDalSGdsoY3PhxA,https://p.scdn.co/mp3-preview/d25600e7db39f6f062b0299add3a01c7f792366f?cid=20390ab532e3448ea3f81b92357edf65,0,1960-01-01,https://open.spotify.com/track/1B2ddTGnDalSGdsoY3PhxA,[],0.925,0.624,211933,0.199,0,8,0.12,-13.723,1,0.0942,97.433,4,0.514
Little White Church,Little Big Town,The Reason Why,0f73zOCdBx6ZPdiBjwN1AP,https://p.scdn.co/mp3-preview/8bcf3da697f7738bb71cee50d6a66b02ccac62c6?cid=20390ab532e3448ea3f81b92357edf65,57,2010-01-01,https://open.spotify.com/track/0f73zOCdBx6ZPdiBjwN1AP,"['contemporary country', 'country', 'country dawn', 'country road']",0.13,0.667,186224,0.878,0,10,0.16,-4.797,1,0.0445,107.024,4,0.816
"Lo Safar (From ""Baaghi 2"")",Jubin Nautiyal,"Lo Safar (From ""Baaghi 2"")",45wzRgkkG5gjuYS3OkFWaI,https://p.scdn.co/mp3-preview/dda82a7427808d8beb02892e6b1350c94cf3cde8?cid=20390ab532e3448ea3f81b92357edf65,67,2018-03-13,https://open.spotify.com/track/45wzRgkkG5gjuYS3OkFWaI,"['desi pop', 'filmi', 'hare krishna', 'modern bollywood']",0.856,0.527,282023,0.469,0.00393,7,0.121,-9.562,0,0.0247,90.933,4,0.403
Locha-E-Ulfat,Benny Dayal,Love Dose: Benny Dayal,0LIdJDwGEJUDruEycKBK80,https://p.scdn.co/mp3-preview/568bddd44ad1c76b7ff812e7a759e901efe20f3c?cid=20390ab532e3448ea3f81b92357edf65,60,2017-12-05,https://open.spotify.com/track/0LIdJDwGEJUDruEycKBK80,"['desi pop', 'filmi', 'modern bollywood']",0.0365,0.705,288462,0.74,0,0,0.487,-5.82,1,0.0505,106.953,4,0.928
